feature_selection_method,n_feature_to_select,model_name,sn,sp,acc,mcc,auc
RFE_DT,57,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,58,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,59,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,60,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,61,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,62,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,63,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,64,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,65,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,66,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,67,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,68,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,69,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,70,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,71,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,72,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,73,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,74,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,75,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,76,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,77,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,78,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,79,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,80,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,81,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,82,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,83,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,84,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,85,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,86,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,87,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,88,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,89,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,91,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,96,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,97,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,115,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,116,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,117,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,120,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,121,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,122,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,123,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,124,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,125,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,126,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,127,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,128,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,129,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,130,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,131,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_MLR,62,DT,0.3125,0.727272727,0.481481481,0.019886364,0.519886364
RFE_MLR,76,DT,0.3125,0.727272727,0.481481481,0.019886364,0.519886364
RFE_MLR,92,DT,0.3125,0.727272727,0.481481481,0.019886364,0.519886364
RFE_MLR,105,DT,0.3125,0.727272727,0.481481481,0.019886364,0.519886364
RFE_MLR,11,DT,0.75,0.272727273,0.555555556,0.019462474,0.511363636
RFE_MLR,11,SVM,0.75,0.272727273,0.555555556,0.019462474,0.511363636
